Student_ID,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance
478,7.1,WhatsApp,Yes
479,3,Instagram,No
480,3.8,TikTok,Yes
481,3.6,Instagram,Yes
482,2.4,Facebook,No
483,3.3,TikTok,Yes
484,7.4,WhatsApp,Yes
485,2.3,Instagram,No
486,3.9,Instagram,Yes
487,8.4,TikTok,Yes
488,7.2,WhatsApp,Yes
489,2.9,Instagram,No
490,3.7,Instagram,Yes
491,3.5,TikTok,Yes
492,2.3,Facebook,No
493,3.2,Instagram,Yes
494,7.5,WhatsApp,Yes
495,2.2,Instagram,No
496,3.8,TikTok,Yes
497,8.5,Instagram,Yes
498,7.3,WhatsApp,Yes
499,2.8,Instagram,No
500,3.6,TikTok,Yes
501,6.2,WhatsApp,Yes
502,4.5,WeChat,No
503,3.8,Instagram,No
504,4.7,Instagram,Yes
505,5.1,TikTok,Yes
506,5.5,WhatsApp,Yes
507,6.5,Instagram,Yes
508,4.2,Facebook,No
509,6.8,WhatsApp,Yes
510,4.8,Instagram,Yes
511,6.1,Instagram,Yes
512,4.4,WeChat,No
513,3.7,TikTok,No
514,4.6,Instagram,Yes
515,5.2,TikTok,Yes
516,5.6,WhatsApp,Yes
517,6.6,Instagram,Yes
518,4.1,Facebook,No
519,6.9,WhatsApp,Yes
520,4.7,TikTok,Yes
521,6,WhatsApp,Yes
522,4.3,WeChat,No
523,3.6,Instagram,No
524,4.5,Facebook,Yes
525,5.3,TikTok,Yes
526,5.7,WhatsApp,Yes
527,6.7,Instagram,Yes
528,4,Facebook,No
529,7,WhatsApp,Yes
530,4.6,Instagram,Yes
531,5.9,TikTok,Yes
532,4.2,WeChat,No
533,3.5,Instagram,No
534,4.4,Facebook,Yes
535,5.4,TikTok,Yes
536,5.8,WhatsApp,Yes
537,6.8,Instagram,Yes
538,3.9,Facebook,No
539,7.1,WhatsApp,Yes
540,4.5,TikTok,Yes
541,5.8,WhatsApp,Yes
542,4.1,WeChat,No
543,3.4,Instagram,No
544,4.3,Instagram,Yes
545,5.5,TikTok,Yes
546,5.9,WhatsApp,Yes
547,6.9,Instagram,Yes
548,3.8,Facebook,No
549,7.2,WhatsApp,Yes
550,4.4,Instagram,Yes
551,5.7,TikTok,Yes
552,4,WeChat,No
553,3.3,Instagram,No
554,4.2,Facebook,Yes
555,5.6,TikTok,Yes
556,6,WhatsApp,Yes
557,7,Instagram,Yes
558,3.7,Facebook,No
559,7.3,WhatsApp,Yes
560,4.3,TikTok,Yes
561,5.6,WhatsApp,Yes
562,3.9,WeChat,No
563,3.2,Instagram,No
564,4.1,Instagram,Yes
565,5.7,TikTok,Yes
566,6.1,WhatsApp,Yes
567,7.1,Instagram,Yes
568,3.6,Facebook,No
569,7.4,WhatsApp,Yes
570,4.2,Instagram,Yes
571,6.1,Instagram,Yes
572,3.8,Twitter,No
573,5.5,TikTok,Yes
574,7.2,Facebook,Yes
575,4.2,Instagram,No
576,6.8,TikTok,Yes
577,5.9,Instagram,Yes
578,6.5,Facebook,Yes
579,4.7,Twitter,No
580,5.2,Instagram,Yes
581,6.3,TikTok,Yes
582,4.9,Facebook,No
583,6.7,Instagram,Yes
584,5.8,WeChat,Yes
585,4.5,Twitter,No
586,6.4,Facebook,Yes
587,4.1,Instagram,No
588,6.6,TikTok,Yes
589,4.4,Instagram,No
590,5.7,Twitter,Yes
591,7,Instagram,Yes
592,4.3,Facebook,No
593,6.9,TikTok,Yes
594,5.6,Instagram,Yes
595,6.2,Facebook,Yes
596,5.8,Instagram,Yes
597,4.9,TikTok,No
598,6.4,Facebook,Yes
599,5.1,Twitter,No
600,6.7,Instagram,Yes
601,5.5,WeChat,Yes
602,4.3,Twitter,No
603,6.2,Instagram,Yes
604,4.5,Facebook,No
605,6.3,TikTok,Yes
606,4.7,Instagram,No
607,5.9,Twitter,Yes
608,7.1,Facebook,Yes
609,4.4,Instagram,No
610,6.6,TikTok,Yes
611,5.4,Instagram,Yes
612,6.5,Facebook,Yes
613,4.8,Twitter,No
614,5.7,Instagram,Yes
615,6.1,TikTok,Yes
616,4.6,Facebook,No
617,6.8,Instagram,Yes
618,5.6,WeChat,Yes
619,4.2,Twitter,No
620,6.3,TikTok,Yes
621,4.4,Instagram,No
622,6.5,Facebook,Yes
623,4.6,Twitter,No
624,5.8,Instagram,Yes
625,7,TikTok,Yes
626,4.5,Facebook,No
627,6.7,Instagram,Yes
628,5.5,Twitter,Yes
629,6.4,Facebook,Yes
630,4.7,Instagram,No
631,5.6,TikTok,Yes
632,6.2,Facebook,Yes
633,4.8,Twitter,No
634,6.9,Instagram,Yes
635,5.7,WeChat,Yes
636,4.4,Twitter,No
637,6.1,TikTok,Yes
638,4.3,Instagram,No
639,6.4,Facebook,Yes
640,4.5,Twitter,No
641,5.9,Instagram,Yes
642,7.2,TikTok,Yes
643,4.6,Facebook,No
644,6.8,Instagram,Yes
645,5.3,Twitter,Yes
646,6.3,Facebook,Yes
647,4.8,Instagram,No
648,5.7,TikTok,Yes
649,6.2,Twitter,Yes
650,4.7,Facebook,No
651,6.8,Instagram,Yes
652,5.6,WeChat,Yes
653,4.3,Twitter,No
654,6.2,TikTok,Yes
655,4.4,Instagram,No
656,6.5,Facebook,Yes
657,4.6,Twitter,No
658,5.8,Instagram,Yes
659,7.1,TikTok,Yes
660,4.5,Facebook,No
661,6.7,Instagram,Yes
662,5.4,Twitter,Yes
663,6.4,TikTok,Yes
664,4.7,Facebook,No
665,5.6,Instagram,Yes
666,6.3,Twitter,Yes
667,4.8,TikTok,No
668,6.9,Instagram,Yes
669,5.7,WeChat,Yes
670,4.4,Twitter,No
671,6.1,Facebook,Yes
672,4.3,Instagram,No
673,6.4,TikTok,Yes
674,4.5,Twitter,No
675,5.9,Instagram,Yes
676,7.2,Facebook,Yes
677,4.6,TikTok,No
678,6.8,Instagram,Yes
679,5.3,Twitter,Yes
680,6.2,Facebook,Yes
681,4.7,Instagram,No
682,5.8,TikTok,Yes
683,6.1,Twitter,Yes
684,4.8,Facebook,No
685,6.7,Instagram,Yes
686,5.5,WeChat,Yes
687,4.2,Twitter,No
688,6.3,TikTok,Yes
689,4.4,Instagram,No
690,6.5,Facebook,Yes
691,4.6,Twitter,No
692,5.9,Instagram,Yes
693,7,TikTok,Yes
694,4.5,Facebook,No
695,6.6,Instagram,Yes
696,5.5,Twitter,Yes
697,6.3,TikTok,Yes
698,4.8,Facebook,No
699,5.7,Instagram,Yes
700,6.2,Twitter,Yes
701,4.7,TikTok,No
702,6.8,Instagram,Yes
703,5.6,WeChat,Yes
704,4.3,Twitter,No
705,6.2,Facebook,Yes
